Bairros;Valores;Informações;Descricao
"Blumenau, Victor Konder
Cód.: AP0419";R$ 550.000,00;"3 quartos
1 suíte
1 vaga
88,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (1 suíte) e 88 m² - AP0419
"Blumenau, Fortaleza
Cód.: CA0007";R$ 650.000,00;"3 quartos
1 suíte
2 vagas
200,0 m²";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios (1 suíte) e 200 m² - CA0007
"Blumenau, Escola Agrícola
Cód.: CA1956";R$ 850.000,00;"3 quartos
1 suíte
3 vagas
180,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 3 Dormitórios (1 suíte) e 180 m² - CA1956
"Blumenau, Itoupava Norte
Cód.: 36578";R$ 480.000,00;"2 quartos
1 suíte
2 vagas
86,0 m²";Apartamento no Bairro Itoupava Norte em Blumenau com 2 Dormitórios (1 suíte) e 86 m² - 36578
"Blumenau, Vila Nova
Cód.: 1336325";R$ 790.000,00;"3 quartos
1 suíte
2 vagas
98,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (1 suíte) e 98 m² - 1336325
"Blumenau, Fortaleza Alta
Cód.: 3980022";R$ 260.000,00;"2 quartos
1 vaga
69,9 m²";Casa no Bairro Fortaleza Alta em Blumenau com 2 Dormitórios e 69.88 m² - 3980022
"Blumenau, Fortaleza
Cód.: 4191719";R$ 780.000,00;"3 quartos
1 suíte
2 vagas
135,0 m²";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios (1 suíte) e 135 m² - 4191719
"Blumenau, Fortaleza Alta
Cód.: 4191796";R$ 695.000,00;"3 quartos
1 suíte
2 vagas";Casa no Bairro Fortaleza Alta em Blumenau com 3 Dormitórios (1 suíte) - 4191796
"Blumenau, Velha
Cód.: AP1789";R$ 580.000,00;"2 quartos
1 suíte
1 vaga
74,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (1 suíte) e 74 m² - AP1789
"Blumenau, Itoupava Central
Cód.: 6004829";R$ 278.000,00;"2 quartos
1 vaga
68,0 m²";Casa no Bairro Itoupava Central em Blumenau com 2 Dormitórios e 68 m² - 6004829
"Blumenau, Victor Konder
Cód.: 5520110";R$ 460.000,00;"3 quartos
1 suíte
2 vagas
135,8 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (1 suíte) e 135.75 m² - 5520110
"Blumenau, Vila Nova
Cód.: 3319074";R$ 390.000,00;"2 quartos
1 suíte
1 vaga
71,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 2 Dormitórios (1 suíte) e 71 m² - 3319074
"Blumenau, Água Verde
Cód.: 1907";R$ 320.000,00;"3 quartos
92,0 m²";Apartamento no Bairro Água Verde em Blumenau com 3 Dormitórios e 92 m² - 1907
"Blumenau, Itoupava Central
Cód.: 5630024";R$ 230.000,00;"2 quartos
1 vaga
54,0 m²";Apartamento no Bairro Itoupava Central em Blumenau com 2 Dormitórios e 54 m² - 5630024
"Blumenau, Escola Agrícola
Cód.: AP0200";R$ 420.000,00;"2 quartos
1 suíte
2 vagas
70,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios (1 suíte) e 70 m² - AP0200
"Blumenau, Salto Norte
Cód.: CA0032";R$ 365.000,00;"2 quartos
1 suíte
2 vagas
80,0 m²";Casa no Bairro Salto Norte em Blumenau com 2 Dormitórios (1 suíte) e 80 m² - CA0032
"Blumenau, Nova Esperança
Cód.: 4191827";R$ 230.000,00;"2 quartos
1 vaga";Apartamento no Bairro Nova Esperança em Blumenau com 2 Dormitórios - 4191827
"Blumenau, Itoupava Norte
Cód.: CA1834";R$ 1.990.000,00;"5 quartos
4 suítes
10 vagas
400,0 m²";Casa no Bairro Itoupava Norte em Blumenau com 5 Dormitórios (4 suítes) e 400 m² - CA1834
"Blumenau, Fidelis
Cód.: 1558";R$ 490.000,00;"3 quartos
4 vagas
156,0 m²";Casa no Bairro Fidelis em Blumenau com 3 Dormitórios e 156 m² - 1558
