Bairros,Valores,Quartos,Suítes,Vagas,Tamanho,Tipo
Velha,750000.0,3.0,1.0,2.0,154.0,Casa
Tribess,750000.0,3.0,1.0,4.0,200.0,Casa
Garcia,760000.0,3.0,1.0,2.0,180.0,Casa
Escola Agrícola,760000.0,3.0,1.0,2.0,87.5,Apartamento
Velha,760000.0,3.0,3.0,2.0,110.6,Apartamento
Itoupava Seca,763000.0,3.0,1.0,2.0,83.0,Apartamento
Vorstadt,766000.0,5.0,4.0,4.0,300.0,Casa
Velha Central,780000.0,3.0,3.0,2.0,140.0,Casa
Victor Konder,780000.0,3.0,1.0,1.0,99.0,Apartamento
Velha,785000.0,3.0,1.0,2.0,115.0,Apartamento
Velha,785000.0,3.0,1.0,2.0,112.0,Apartamento
